medal_date,medal_type,medal_code,name,gender,country,country_code,nationality,team,team_gender,discipline,event,event_type,url_event,birth_date,code
2024-07-27,Silver Medal,2,SOUTHAM Flynn,Male,Australia,AUS,Australia,Australia,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,2005-06-05,1946179
2024-07-27,Silver Medal,2,CHALMERS Kyle,Male,Australia,AUS,Australia,Australia,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,1998-06-25,1946200
2024-07-27,Silver Medal,2,TAYLOR Kai,Male,Australia,AUS,Australia,Australia,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,2003-08-18,1946196
2024-07-27,Bronze Medal,3,ZAZZERI Lorenzo,Male,Italy,ITA,Italy,Italy,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,1994-08-09,1925669
2024-07-27,Bronze Medal,3,DEPLANO Leonardo,Male,Italy,ITA,Italy,Italy,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,1999-07-21,1925681
2024-07-27,Bronze Medal,3,CONTE BONIN Paolo,Male,Italy,ITA,Italy,Italy,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,2002-02-09,1925675
2024-07-27,Bronze Medal,3,FRIGO Manuel,Male,Italy,ITA,Italy,Italy,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,1997-02-18,1925634
2024-07-27,Bronze Medal,3,CECCON Thomas,Male,Italy,ITA,Italy,Italy,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,2001-01-27,1925635
2024-07-27,Bronze Medal,3,MIRESSI Alessandro,Male,Italy,ITA,Italy,Italy,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,1998-10-02,1925636
2024-07-27,Gold Medal,1,WUNSCH Olivia,Female,Australia,AUS,Australia,Australia,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,2006-05-31,1946221
2024-07-27,Gold Medal,1,CAMPBELL Bronte,Female,Australia,AUS,Australia,Australia,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,1994-05-14,1946159
2024-07-27,Gold Medal,1,HARRIS Meg,Female,Australia,AUS,Australia,Australia,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,2002-03-07,1946212
2024-07-27,Gold Medal,1,McKEON Emma,Female,Australia,AUS,Australia,Australia,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,1994-05-24,1946177
2024-07-27,Gold Medal,1,JACK Shayna,Female,Australia,AUS,Australia,Australia,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,1998-11-06,1946227
2024-07-27,Gold Medal,1,O'CALLAGHAN Mollie,Female,Australia,AUS,Australia,Australia,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,2004-04-02,1946218
2024-07-27,Silver Medal,2,WEITZEIL Abbey,Female,United States,USA,United States,United States of America,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,1996-12-03,1935860
2024-07-27,Silver Medal,2,MANUEL Simone,Female,United States,USA,United States,United States of America,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,1996-08-02,1935945
2024-07-27,Silver Medal,2,CONNOLLY Erika,Female,United States,USA,United States,United States of America,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,1998-08-27,1935879
2024-07-27,Silver Medal,2,DOUGLASS Kate,Female,United States,USA,United States,United States of America,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,2001-11-17,1935895
2024-07-27,Silver Medal,2,HUSKE Torri,Female,United States,USA,United States,United States of America,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,2002-12-07,1935923
2024-07-27,Silver Medal,2,WALSH Gretchen,Female,United States,USA,United States,United States of America,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,2003-01-29,1935998
2024-07-27,Bronze Medal,3,CHENG Yujie,Female,China,CHN,China,People's Republic of China,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,2005-09-22,1945230
2024-07-27,Bronze Medal,3,WU Qingfeng,Female,China,CHN,China,People's Republic of China,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,2003-01-28,1945206
2024-07-27,Bronze Medal,3,YU Yiting,Female,China,CHN,China,People's Republic of China,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,2005-09-05,1945164
2024-07-27,Bronze Medal,3,YANG Junxuan,Female,China,CHN,China,People's Republic of China,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,2002-01-26,1945159
2024-07-27,Bronze Medal,3,ZHANG Yufei,Female,China,CHN,China,People's Republic of China,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,1998-04-19,1945125
2024-07-28,Gold Medal,1,JEON Hunyoung,Female,Korea,KOR,Korea,Republic of Korea,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,1994-05-29,1902121
2024-07-28,Gold Medal,1,LIM Sihyeon,Female,Korea,KOR,Korea,Republic of Korea,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,2003-06-13,1902147
2024-07-28,Gold Medal,1,NAM Suhyeon,Female,Korea,KOR,Korea,Republic of Korea,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,2005-01-27,1902148
2024-07-28,Silver Medal,2,AN Qixuan,Female,China,CHN,China,People's Republic of China,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,2000-12-03,1913382
2024-07-28,Silver Medal,2,LI Jiaman,Female,China,CHN,China,People's Republic of China,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,1997-08-18,1913372
2024-07-28,Silver Medal,2,YANG Xiaolei,Female,China,CHN,China,People's Republic of China,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,2000-06-28,1913380
2024-07-28,Bronze Medal,3,RUIZ Angela,Female,Mexico,MEX,Mexico,Mexico,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000200--,2006-07-28,1535429
2024-07-28,Bronze Medal,3,VALENCIA Alejandra,Female,Mexico,MEX,Mexico,Mexico,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000200--,1994-10-17,1535420
2024-07-28,Bronze Medal,3,VAZQUEZ Ana,Female,Mexico,MEX,Mexico,Mexico,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000200--,2000-10-05,1536479
